/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	1	/>This article	is about	the film series and media franchise	8	10	10	12	12	18	0.6880186101758632	2x " data-file-width ="128 " data-file-height ="128 " />This article is about the film series and media franchise .	CD `` JJ CD `` JJ . '' DT NN VBZ IN DT NN NN CC NNS NN .	B-NP I-NP I-NP I-NP O B-ADJP O O B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	/>this article	be about	the film series and media franchise
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	4	The saga	quickly became	a worldwide trilogy	0	2	2	4	4	7	0.9319388056781309	The saga quickly became a worldwide trilogy .	DT NN RB VBD DT JJ NN .	B-NP I-NP B-ADVP B-VP B-NP I-NP I-NP O	the saga	become	a worldwide trilogy
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	5	A prequel trilogy	was released between	1999 and 2005	0	3	3	6	6	9	0.9754637069445452	A prequel trilogy was released between 1999 and 2005 , albeit to mixed reactions from critics and fans .	DT NN NN VBD VBN IN CD CC CD , IN TO JJ NNS IN NNS CC NNS .	B-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O	a prequel trilogy	release between	# and #
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	9	They	were released out of	sequence	0	1	1	5	5	6	0.7884777061136288	They were released out of sequence : the original trilogy .	PRP VBD VBN IN IN NN : DT JJ NN .	B-NP B-VP I-VP B-PP B-PP B-NP O B-NP I-NP I-NP O	they	release out of	sequence
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	10	The first two trilogies	were released on	three year intervals	0	4	4	7	7	10	0.9928243875733289	The first two trilogies were released on three year intervals , the sequel trilogy films two years apart .	DT JJ CD NNS VBD VBN IN CD NN NNS , DT NN NN NNS CD NNS RB .	B-NP I-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-NP I-NP B-ADVP O	the first # trilogies	release on	# year intervals
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	13	They	were among	the last projects	0	1	1	3	3	6	0.19151336910513034	They were among the last projects overseen by George Lucas before the franchise was sold to Disney in 2012 .	PRP VBD IN DT JJ NNS VBN IN NNP NNP IN DT NN VBD VBN TO NNP IN CD .	B-NP B-VP B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-VP I-VP B-PP B-NP B-PP B-NP O	they	be among	the last projects
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	13	the franchise	was sold to	Disney	11	13	13	16	16	17	0.9272160104187965	They were among the last projects overseen by George Lucas before the franchise was sold to Disney in 2012 .	PRP VBD IN DT JJ NNS VBN IN NNP NNP IN DT NN VBD VBN TO NNP IN CD .	B-NP B-VP B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-VP I-VP B-PP B-NP B-PP B-NP O	the franchise	sell to	disney
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	15	He	began developing	his own story	0	1	1	3	3	6	0.25561241782764627	He began developing his own story inspired by the work of .	PRP VBD VBG PRP$ JJ NN VBN IN DT NN IN .	B-NP B-VP I-VP B-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP O	he	begin develop	his own story
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	17	The sequels	generally advertised without	the episodic number distinction	0	2	7	10	10	14	0.8032163058856204	The sequels were self-financed by , and generally advertised without the episodic number distinction present in their opening crawls .	DT NNS VBD JJ IN , CC RB VBD IN DT JJ NN NN RB IN PRP$ NN NNS .	B-NP I-NP B-VP I-VP B-PP O O B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-ADVP B-PP B-NP I-NP I-NP O	the sequels	advertise without	the episodic number distinction
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	19	the style of CGI	envisioned for	the new films	8	12	12	14	14	17	0.7853272963040121	A theatrical "updated " the original trilogy with the style of CGI envisioned for the new films .	DT JJ JJ `` DT JJ NN IN DT NN IN NNP VBD IN DT JJ NNS .	B-NP I-NP I-NP I-NP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP O	the style of cgi	envision for	the new films
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	20	she	helps	the Resistance	5	6	6	7	7	9	0.07293355611828951	Along with ex-stormtrooper Finn , she helps the Resistance led by Leia fight the First Order commanded by .	IN IN JJ NNP , PRP VBZ DT NN VBN IN NNP NN DT NNP NNP VBD IN .	B-PP B-PP B-NP I-NP O B-NP B-VP B-NP I-NP B-VP B-PP B-NP B-VP B-NP I-NP I-NP B-VP B-NP O	she	help	the resistance
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	21	they	do not bear in	their titles	8	9	9	13	13	15	0.2012077836988809	Although based on story ideas from Lucas , they do not bear in their titles , and were considered to exist in a lower level of canon than the episodic films .	IN VBN IN NN NNS IN NNP , PRP VBP RB VB IN PRP$ NNS , CC VBD VBN TO VB IN DT JJR NN IN NN IN DT JJ NNS .	B-SBAR B-VP B-PP B-NP I-NP B-PP B-NP O B-NP B-VP I-VP I-VP B-PP B-NP I-NP O O B-VP I-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	they	bear in	their titles
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	22	Lucas	continued developing	spin-offs	11	12	12	14	14	15	0.70524602813063	After the conclusion of his then six-episode saga in 2005 , Lucas continued developing spin-offs in the form of television series and theatrical films .	IN DT NN IN PRP$ RB JJ NN IN CD , NNP VBD VBG NNS IN DT NN IN NN NN CC JJ NNS .	B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	lucas	continue develop	spin-offs
/mnt/c/Users/cdilg/Documents/NEU/CS6120/reverb jar/starwars.html	23	the rebels	obtained	the	3	5	5	6	6	7	0.8155590724270743	Focused on how the rebels obtained the , was released on December 16 , 2016 to favorable reviews and box office performance .	VBN IN WRB DT NNS VBD DT , VBD VBN IN NNP CD , CD TO JJ NNS CC NN NN NN .	B-VP B-PP B-ADVP B-NP I-NP B-VP B-NP O B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	the rebels	obtain	the
